EMP PTO;FIL PTO; ;TP PTO;NUM CARGA;DT CARGA;CUBAGEM;CARGA ETG;DATA ETG;BOX;SHIPMENT;EMP ETG;FIL ETG; ;                              
 21;   7;L; ; 001;20.08.2022;000,4883;         ;          ;    ;         ; 21;1401;D;                                               
 21;  25;L; ; 001;11.08.2022;000,4594;         ;          ;    ;         ; 21;1401;D;                                               
 21;  35;L; ; 001;11.08.2022;000,4071;         ;          ;    ;         ; 21;1401;D;                                               
 21;  38;L; ; 001;16.08.2022;001,0063;         ;          ;    ;         ; 21;1401;D;                                               
 21;  88;L; ; 001;13.08.2022;001,0512;         ;          ;    ;         ; 21;1401;D;                                               
 21; 114;L; ; 001;24.08.2022;000,0047;         ;          ;    ;         ; 21;1760;D;                                               
 21; 121;L; ; 001;20.08.2022;000,1378;         ;          ;    ;         ; 21;1401;D;                                               
 21; 151;L; ; 001;11.08.2022;000,4686;         ;          ;    ;         ; 21;1401;D;                                               
 21; 167;L; ; 001;24.08.2022;000,0102;         ;          ;    ;         ; 21;1401;D;                                               
 21; 275;L; ; 001;20.08.2022;000,4026;         ;          ;    ;         ; 21;1200;D;                                               
 21; 281;L; ; 001;20.08.2022;000,0675;         ;          ;    ;         ; 21;1401;D;                                               
 21; 296;L; ; 001;23.08.2022;000,3104;         ;          ;    ;         ; 21;1401;D;                                               
 21; 322;L; ; 001;12.08.2022;000,3418;         ;          ;    ;         ; 21;1445;D;                                               
 21; 334;L; ; 001;20.08.2022;000,9483;         ;          ;    ;         ; 21;1760;D;                                               
 21; 429;L; ; 001;13.08.2022;001,6846;         ;          ;    ;         ; 21;1401;D;                                               
 21; 479;L; ; 001;24.08.2022;000,4411;         ;          ;    ;         ; 21;1401;D;                                               
 21; 488;L; ; 001;12.08.2022;001,0895;         ;          ;    ;         ; 21;1445;D;                                               
 21; 509;L; ; 001;13.08.2022;000,5063;         ;          ;    ;         ; 21;1200;D;                                               
 21; 652;L; ; 001;20.08.2022;001,0836;         ;          ;    ;         ; 21;1401;D;                                               
 21; 673;L; ; 001;22.08.2022;000,1990;         ;          ;    ;         ; 21;1401;D;                                               
 21; 941;L; ; 001;19.08.2022;000,4007;         ;          ;    ;         ; 21;1401;D;                                               
 21; 943;L; ; 001;12.08.2022;000,8271;         ;          ;    ;         ; 21;1445;D;                                               
 21; 954;L; ; 001;22.08.2022;000,0869;         ;          ;    ;         ; 21;1401;D;                                               
 21; 971;L; ; 001;11.08.2022;000,1627;         ;          ;    ;         ; 21;1401;D;                                               
 21; 975;L; ; 003;19.08.2022;000,3013;         ;          ;    ;         ; 21;1401;D;                                               
 21;1002;L; ; 001;20.08.2022;003,1344;         ;          ;    ;         ; 21;1200;D;                                               
 21;1033;L; ; 001;20.08.2022;000,1232;         ;          ;    ;         ; 21;1088;D;                                               
 21;1036;L; ; 001;20.08.2022;000,7625;         ;          ;    ;         ; 21;1200;D;                                               
 21;1039;L; ; 001;20.08.2022;003,4237;         ;          ;    ;         ; 21;1200;D;                                               
 21;1040;L; ; 001;20.08.2022;000,0401;         ;          ;    ;         ; 21;1088;D;                                               
 21;1049;L; ; 001;20.08.2022;000,1480;         ;          ;    ;         ; 21;1200;D;                                               
 21;1063;T; ; 001;13.08.2022;000,1049;         ;          ;    ;         ; 21;1200;D;                                               
 21;1072;L; ; 001;20.08.2022;001,3581;         ;          ;    ;         ; 21;1200;D;                                               
 21;1073;L; ; 001;10.08.2022;000,0111;         ;          ;    ;         ; 21;1200;D;                                               
 21;1074;L; ; 001;20.08.2022;002,5250;         ;          ;    ;         ; 21;1200;D;                                               
 21;1082;L; ; 001;20.08.2022;000,2491;         ;          ;    ;         ; 21;1200;D;                                               
 21;1086;L; ; 001;20.08.2022;002,4813;         ;          ;    ;         ; 21;1200;D;                                               
 21;1088;D; ; 005;20.08.2022;000,0716;         ;          ;    ;         ; 21;1200;D;                                               
 21;1107;L; ; 001;20.08.2022;000,1291;         ;          ;    ;         ; 21;1200;D;                                               
 21;1110;L; ; 001;20.08.2022;004,6230;         ;          ;    ;         ; 21;1401;D;                                               
 21;1112;L; ; 006;19.08.2022;000,8535;         ;          ;    ;         ; 21;1673;D;                                               
 21;1115;L; ; 001;20.08.2022;002,5233;         ;          ;    ;         ; 21;1200;D;                                               
