CLUSTER;FILIAL DESTINO;GH;FECHAMENTO 1200;FREQ;CUBAGEM TOTAL;CUSTO MEDIO TOTAL;QTDE
Definir Cluster;1476;1.0;QUI/SEX/TER/QUA;4.0;3.6315;35566.590000000004;48
Definir Cluster;1616;1.0;QUI/SEX/TER/QUA;4.0;3.981;39472.950000000004;347
MGINT9524;2372;14.0;TER;1.0;3.119;19968.99;30
SPCAP001;1209;1.0;SEG/QUI;2.0;19.334600000000002;307089.42;616
SPCAP001;1393;1.0;SEG/QUI;2.0;11.8959;202788.63999999998;553
SPCAP001;185;1.0;SEG/QUI;2.0;9.206;129063.39;309
SPCAP002;1080;1.0;SEX/TER;2.0;2.8122000000000003;31063.38;42
SPCAP002;1709;1.0;SEX/TER;2.0;4.0786;80894.19;107
SPCAP002;741;1.0;SEX/TER;2.0;6.6912;93243.05;166
SPCAP003;1210;1.0;QUI/SEG/QUA;3.0;10.8639;176846.08;709
SPCAP003;1998;1.0;QUI/SEG/QUA;3.0;1.7068999999999999;107595.22;146
SPCAP003;880;1.0;QUI/SEG/QUA;3.0;1.575;34055.77;50
SPCAP006;1534;1.0;TER/SEX;2.0;3.2477;51702.8;74
SPCAP006;215;1.0;TER/SEX;2.0;2.4901;65141.15;70
SPCAP007;1013;1.0;TER;1.0;4.9742;84886.78;144
SPCAP007;1050;1.0;TER;1.0;8.2288;78127.83;104
SPCAP007;1058;1.0;TER;1.0;14.568299999999999;95250.35;194
SPCAP007;1972;1.0;TER;1.0;0.246;13128.82;14
SPCAP008;1001;1.0;SEX/QUA;2.0;2.0881;26156.059999999998;23
SPCAP008;1821;1.0;SEX/QUA;2.0;1.4525;12955.279999999999;119
SPCAP008;1903;1.0;SEX/QUA;2.0;0.2524;10223.14;68
SPCAP009;1509;1.0;TER;1.0;2.0982;27527.45;32
SPCAP009;1691;1.0;TER;1.0;3.4362;89274.81;294
SPCAP010;1031;1.0;SEX/SEG/TER/QUA;4.0;8.090399999999999;175029.30000000002;327
SPCAP010;1236;1.0;SEX/SEG/TER;3.0;7.950200000000001;156177.99;378
SPCAP010;1263;1.0;SEX/SEG/TER;3.0;10.2433;145228.26;375
SPCAP010;1265;1.0;SEX/SEG/TER;3.0;5.3516;96663.06999999999;283
SPCAP011;1043;1.0;SEX;1.0;2.6473999999999998;146795.63;247
SPCAP011;1086;1.0;SEG;1.0;4.6224;80733.7;228
SPCAP011;1116;1.0;SEX;1.0;16.3162;167003.11;508
SPCAP011;1759;1.0;SEG;1.0;4.5979;125429.37;112
SPCAP012;1218;1.0;SEG/TER/QUI;3.0;6.4644;114566.99;166
SPCAP012;1269;1.0;SEG/TER/QUI;3.0;9.3623;125921.59;288
SPCAP013;1042;1.0;TER/QUI/SEX;3.0;30.2362;417287.68;935
SPCAP013;1361;1.0;SEX/QUA;2.0;3.406;29007.17;131
SPCAP013;747;1.0;TER/QUI/SEX;3.0;5.0179;211923.97999999998;300
SPCAP014;1028;1.0;SEG/QUA;2.0;3.0192;50445.32;116
SPCAP014;1395;1.0;SEG/QUA;2.0;0.8;3974.89;16
SPCAP015;1011;1.0;SEX;1.0;15.7749;144861.42;266
SPCAP015;1172;1.0;QUI/TER/QUA;3.0;1.0864;126725.86;746
SPCAP015;1226;1.0;QUI/TER/QUA;3.0;3.1898000000000004;38880.07;37
SPCAP015;1527;1.0;SEX;1.0;5.4884;64531.5;100
SPCAP015;984;1.0;QUI/TER/QUA;3.0;2.4768000000000003;17939.97;74
SPCAP016;1144;1.0;QUI;1.0;12.4283;152501.61;354
SPCAP016;1413;1.0;SEX/SEG;2.0;23.1859;186924.96;224
SPCAP016;1510;1.0;SEX/SEG;2.0;11.9187;144587.27;224
SPCAP016;735;1.0;QUI;1.0;3.9894000000000003;51595.35;72
SPCAP017;1098;1.0;SEG;1.0;19.3799;277461.58;691
SPCAP017;1525;1.0;TER;1.0;4.5344;66586.5;86
SPCAP017;1590;1.0;TER;1.0;5.7036;45757.07;49
SPCAP017;718;1.0;SEG;1.0;3.9264;32024.84;44
SPCAP018;1015;1.0;SEX;1.0;3.9225;53791.560000000005;108
SPCAP018;1060;1.0;QUI;1.0;9.105;232825.43;496
SPCAP018;1865;1.0;SEX;1.0;6.168;65756.83;94
SPCAP018;275;1.0;SEX;1.0;3.7216;70064.96;129
SPCAP019;1211;1.0;SEG/TER/SEX;3.0;9.1629;198647.85;300
SPCAP019;1406;1.0;SEG/TER/SEX;3.0;12.2702;214368.81;222
SPCAP019;1430;1.0;SEG/TER/SEX;3.0;6.8904;124008.62;229
SPCAP020;1022;1.0;QUA;1.0;1.8601;11564.01;244
SPCAP020;1072;1.0;SEG;1.0;27.2145;319740.14;542
SPCAP020;1100;1.0;SEG;1.0;17.1797;142010.97;190
SPCAP022;1271;1.0;TER;1.0;2.0977;19303.1;52
SPCAP022;1431;1.0;QUI;1.0;10.0927;83998.68000000001;232
SPCAP022;1492;1.0;QUI;1.0;6.9066;41373.409999999996;185
SPCAP024;1409;1.0;QUI/TER;2.0;3.6096;37676.06;53
SPCAP025;1034;1.0;SEX/TER;2.0;3.5133;23906.06;39
SPCAP025;1220;1.0;SEX/TER;2.0;7.0013;130805.51000000001;438
SPCAP025;1348;1.0;SEX/TER;2.0;6.0402;109287.01;118
SPCAP026;1024;1.0;SEG/QUA;2.0;10.1287;97758.04;278
SPCAP026;1061;1.0;SEG/TER/QUA/QUI;4.0;16.1598;96217.41;154
SPCAP026;1270;1.0;SEG/TER/QUA/QUI;4.0;4.0389;39088.51;66
SPCAP026;1544;1.0;SEG/TER/QUA/QUI;4.0;5.0854;73821.06;189
SPCAP026;1578;1.0;SEG/TER/QUA/QUI;4.0;0.1389;136.56;5
SPCAP076;1207;1.0;QUA;1.0;3.6588000000000003;57163.79;59
SPCAP076;1252;1.0;SEG/TER/QUA;3.0;38.037;317570.5;383
SPCAP076;1282;1.0;QUA;1.0;12.85;176046.7;210
SPCAP076;1289;1.0;SEG/TER/QUA;3.0;3.6253;63829.85;56
