CLUSTER;FILIAL;DT CG PONTO;Nº CG PONTO;SKU;DESC SKU;QTDE;AÇÃO;PRIORIDADE;CUBAGEM;CUSTO;DATA ENTREGA;MOTIVO
SPGSP029;1103;2022-09-22;1;4384024;CX DE SOM GO 2 JBL 3W BT PRETO;1;A definir;6.Aging;0.0004;171,09;A definir;A definir
SPGSP029;1103;2022-09-22;1;5122643;CEL DESB SAMSUNG GALAXY A23 PR;1;A definir;2.Telefonia;0.0005;1302,88;A definir;A definir
SPGSP029;1103;2022-09-22;1;5122678;CEL.DESB.SAMSUNG GALAXY A13 12;1;A definir;2.Telefonia;0.0005;1194,29;A definir;A definir
SPGSP029;1103;2022-09-22;1;3699846;SUP TV FIXO 14 A 84 ELG UNI100;1;A definir;6.Aging;0.0009;18,56;A definir;A definir
SPGSP029;1103;2022-09-22;1;5135958;CEL.DESB.XIAOMI REDMI 10A TELA;2;A definir;2.Telefonia;0.0014;1939,88;A definir;A definir
SPGSP029;1103;2022-09-22;1;5135958;CEL.DESB.XIAOMI REDMI 10A TELA;2;A definir;2.Telefonia;0.0014;1939,88;A definir;A definir
SPGSP029;1103;2022-09-22;1;5049636;CEL.DESB SAMSUNG GALAXY A03 PR;4;A definir;2.Telefonia;0.0016;3650,6;A definir;A definir
SPGSP029;1103;2022-09-22;1;3942988;TEL ID SF MOTOROLA DECT 60 MOT;1;A definir;6.Aging;0.0016;114,49;A definir;A definir
SPGSP029;1103;2022-09-22;1;4635809;PRAN PHILCO ULTRA TITANIUM PPR;1;A definir;6.Aging;0.0018;105,06;A definir;A definir
SPGSP029;1103;2022-09-22;1;3699846;SUP TV FIXO 14 A 84 ELG UNI100;2;A definir;6.Aging;0.0018;37,12;A definir;A definir
SPGSP029;1103;2022-09-22;1;5049644;CEL.DESB SAMSUNG GALAXY A03 AZ;6;A definir;2.Telefonia;0.0024;5475,96;A definir;A definir
SPGSP029;1103;2022-09-22;1;5122660;CEL.DESB.SAMSUNG GALAXY A13 12;8;A definir;2.Telefonia;0.004;9454,48;A definir;A definir
SPGSP029;1103;2022-09-22;1;5132169;CEL.DESB.SAMSUNG GALAXY S20 FE;5;A definir;2.Telefonia;0.0045;11420,75;A definir;A definir
SPGSP029;1103;2022-09-22;1;310883;PRAN TAIFF CERAMIC BIV;3;A definir;6.Aging;0.0054;244,14;A definir;A definir
SPGSP029;1103;2022-09-22;1;4936280;SECADOR 2100W TAIFF TOURMALINE;1;A definir;6.Aging;0.0066;242,62;A definir;A definir
SPGSP029;1103;2022-09-22;1;5137594;FERRO A VAPOR MONDIAL F-53 120;1;A definir;6.Aging;0.0072;106,21;A definir;A definir
SPGSP029;1103;2022-09-22;1;4541162;LIQ 2VEL ARNO POWER MIX LQ10 5;1;A definir;6.Aging;0.0131;91,96;A definir;A definir
SPGSP029;1103;2022-09-22;1;4936280;SECADOR 2100W TAIFF TOURMALINE;2;A definir;6.Aging;0.0132;485,24;A definir;A definir
SPGSP029;1103;2022-09-22;1;383104;LIQ 2VEL MONDIAL POWER BLACK L;1;A definir;6.Aging;0.0152;73,79;A definir;A definir
SPGSP029;1103;2022-09-22;1;4642945;SECADOR 2000W TAIFF STYLE COBR;3;A definir;6.Aging;0.021;411,06;A definir;A definir
SPGSP029;1103;2022-09-22;1;4744020;LIQ 15VEL OSTER 1400W OLIQ610;1;A definir;6.Aging;0.0211;155,44;A definir;A definir
SPGSP029;1103;2022-09-22;1;4642945;SECADOR 2000W TAIFF STYLE COBR;4;A definir;6.Aging;0.028;548,08;A definir;A definir
SPGSP029;1103;2022-09-22;1;4789458;MULT HP DESKJET ADVANTAGE 2774;1;A definir;3.Tecnologia;0.0308;364,26;A definir;A definir
SPGSP029;1103;2022-09-22;1;4789458;MULT HP DESKJET ADVANTAGE 2774;1;A definir;3.Tecnologia;0.0308;364,26;A definir;A definir
SPGSP029;1103;2022-09-22;1;4577655;FRIT ELET MONDIAL S/OLEO AF31;1;A definir;6.Aging;0.0337;344,38;A definir;A definir
SPGSP029;1103;2022-09-22;1;4744020;LIQ 15VEL OSTER 1400W OLIQ610;2;A definir;6.Aging;0.0422;310,88;A definir;A definir
SPGSP029;1103;2022-09-22;1;4920473;MULTIFUNCIONAL EPSON ECOTANK L;1;A definir;3.Tecnologia;0.0423;1022,65;A definir;A definir
SPGSP029;1103;2022-09-22;1;4920473;MULTIFUNCIONAL EPSON ECOTANK L;1;A definir;3.Tecnologia;0.0423;1022,65;A definir;A definir
SPGSP029;1103;2022-09-22;1;5010799;VVC CONJ PAN 6PCS PARIS TRAMON;1;A definir;6.Aging;0.0432;318,96;A definir;A definir
SPGSP029;1103;2022-09-22;1;5010799;VVC CONJ PAN 6PCS PARIS TRAMON;1;A definir;6.Aging;0.0432;318,96;A definir;A definir
SPGSP029;1103;2022-09-22;1;4988370;MIXER 350W BRITANIA INOX MAXX;1;A definir;6.Aging;0.0485;111,37;A definir;A definir
SPGSP029;1103;2022-09-22;1;4696603;TORRE DE SOM LG RN5 BTH USB FM;1;A definir;6.Aging;0.1336;944,17;A definir;A definir
SPGSP029;1103;2022-09-22;1;5159342;"TV 50"" LED LG 4K 50UQ8050PSB W";1;A definir;3.Tecnologia;0.1431;2337,63;A definir;A definir
SPGSP029;1103;2022-09-22;1;4696603;TORRE DE SOM LG RN5 BTH USB FM;2;A definir;6.Aging;0.2672;1888,34;A definir;A definir
SPGSP029;1103;2022-09-22;1;5159342;"TV 50"" LED LG 4K 50UQ8050PSB W";2;A definir;3.Tecnologia;0.2862;4675,26;A definir;A definir
SPGSP029;1103;2022-09-22;1;5163730;"TV 55"" LED UHD 4K TCL 55P635";2;A definir;3.Tecnologia;0.3232;4883,98;A definir;A definir
